month,month_index,baseline_income,baseline_expenses,baseline_profit,baseline_margin,baseline_salary,baseline_marketing,baseline_infrastructure,baseline_tools,baseline_content,baseline_support,baseline_risk_gap,baseline_operational_pressure,baseline_marketing_share,global_market_signal,top_opportunity_score,weighted_market_roi,weighted_salary_boost,pricing_revenue_uplift_pct,recommendation_margin_uplift_pts,watch_growth_pct,marketing_budget_change_pct,dynamic_pricing_rollout_pct,new_pack_launches,cost_control_pct,salary_optimization_pct,market_demand_shock_pct,support_automation_pct,focus_top_market_pct,target_income,target_expenses,target_profit,target_margin,target_risk_level
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,-7.0,78.0,3,5.0,3.0,14.0,0.0,9.0,50762.88,23611.7,27151.18,53.49,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,16.0,76.0,3,10.0,4.0,-9.0,9.0,5.0,53262.47,25360.78,27901.69,52.39,HIGH
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,18.0,65.0,2,10.0,4.0,1.0,4.0,2.0,56424.4,23499.29,32925.11,58.35,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,20.0,83.0,1,8.0,1.0,11.0,7.0,4.0,63263.77,24499.23,38764.54,61.27,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,14.0,78.0,3,2.0,3.0,2.0,5.0,0.0,56306.5,25503.81,30802.69,54.71,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,23.0,75.0,1,12.0,3.0,-2.0,9.0,4.0,57691.19,25101.89,32589.3,56.49,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,6.0,13.0,3,6.0,2.0,-5.0,6.0,8.0,47669.25,25293.88,22375.38,46.94,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,17.0,84.0,2,10.0,7.0,0.0,9.0,3.0,57235.15,24009.91,33225.24,58.05,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,19.0,20.0,4,0.0,7.0,12.0,8.0,8.0,60024.38,25060.9,34963.47,58.25,LOW
2026-07,1,42751.85,23846.76,18905.09,44.22,12626.77,3457.94,2658.99,1171.86,2837.3,1093.89,0.0,0.6943484146273959,0.14500670111998445,0.9240318585227404,0.858391,87.62080536912751,23395.973154362415,16.0036,3.45,195.65,10.0,46.0,2,7.0,0.0,-8.0,2.0,1.0,46485.16,25748.24,20736.91,44.61,LOW
