user_id,pack_id,title,category_id,category_name,level,primary_skill,sale_price,original_price,discount_pct,duration_hours,market_demand_score,market_avg_roi,market_course_count,trend_total_views,trend_total_engagement,preferred_category_id,preferred_level,preferred_duration_hours,user_budget,activity_score,loyalty_score,prior_pack_purchases,prior_category_purchases,level_gap,duration_gap,price_gap,price_fit_score,category_match,level_match,viewed_count,clicked_count,wishlist_count,add_to_cart_count,heuristic_purchase_probability,purchased,predicted_purchase_probability
1,1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,99.99,149.99,33.3356,65,0.308318,83.6462,26,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,1,38,0.0,0.341589,1,0,5,3,2,1,0.391907,1,0.70547
1,2,Full-Stack JavaScript Mastery,1,Web Development,INTERMEDIATE,react,199.99,299.99,33.3344,120,0.308318,83.6462,26,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,2,0,17,0.0,0.683213,1,1,5,1,1,0,0.520602,1,0.80668
1,3,Python & Django Backend Development,1,Web Development,INTERMEDIATE,python,179.99,249.99,28.0011,90,0.930743,92.5306,49,169122000,1691220,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,2,0,13,0.0,0.614888,1,1,8,6,2,2,0.953863,1,0.990248
1,4,Next.js Advanced Full-Stack Development,1,Web Development,ADVANCED,react,219.99,279.99,21.4293,75,0.308318,83.6462,26,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,1,1,28,0.0,0.751537,1,0,6,1,0,0,0.180612,0,0.458169
1,5,Data Analytics Professional Certificate,2,Data and AI,BEGINNER,data-science,129.99,199.99,35.0018,80,0.755471,99.125,12,4939000,49390,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,1,23,0.0,0.444076,0,0,3,2,1,1,0.277963,0,0.617348
1,6,Machine Learning Engineering Masterclass,2,Data and AI,INTERMEDIATE,machine-learning,249.99,349.99,28.5722,130,0.813377,98.9688,16,18509000,185090,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,1,0,27,0.0,0.854024,0,1,2,0,0,0,0.330184,0,0.640591
1,7,Deep Learning & NLP with Python,2,Data and AI,ADVANCED,deep-learning,299.99,399.99,25.0006,150,0.289859,98.5,1,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,1,1,47,7.27,0.975164,0,0,5,3,2,2,0.44763,1,0.827999
1,9,AWS Solutions Architect Certification Prep,3,Cloud,INTERMEDIATE,aws,199.99,299.99,33.3344,70,0.308928,100.0,7,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,0,33,0.0,0.683213,0,1,4,0,0,0,0.163458,0,0.44255
1,10,Microsoft Azure Fundamentals AZ-900,3,Cloud,BEGINNER,aws,99.99,149.99,33.3356,35,0.308928,100.0,7,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,1,68,0.0,0.341589,0,0,2,0,0,0,0.038476,0,0.152337
1,11,Google Cloud Professional Architect Prep,3,Cloud,ADVANCED,aws,259.99,349.99,25.715,80,0.308928,100.0,7,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,1,23,0.0,0.888187,0,0,6,2,0,0,0.099526,0,0.318606
1,12,CompTIA Security+ Certification Prep,4,Cybersecurity,BEGINNER,general,139.99,199.99,30.0015,60,0.346841,62.5,4,1100000,11000,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,1,43,0.0,0.478239,0,0,8,2,1,0,0.081386,1,0.299692
1,13,Ethical Hacking & Penetration Testing,4,Cybersecurity,INTERMEDIATE,general,259.99,349.99,25.715,110,0.346841,62.5,4,1100000,11000,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,1,0,7,0.0,0.888187,0,1,2,1,1,0,0.292078,0,0.666971
1,14,SOC Analyst & Incident Response Mastery,4,Cybersecurity,ADVANCED,general,299.99,399.99,25.0006,90,0.346841,62.5,4,1100000,11000,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,1,13,7.27,0.975164,0,0,6,4,0,1,0.265159,0,0.598549
1,15,Flutter & Dart Mobile Development,5,Mobile Development,INTERMEDIATE,react,199.99,279.99,28.5724,85,0.308318,83.6462,26,0,0,1,INTERMEDIATE,103,292.72,0.604275,0.485348,2,0,0,18,0.0,0.683213,0,1,3,0,0,0,0.160694,0,0.483267
